Round,GuidesAssigned,GuidesDeferred,M1_count,M1_guides,M2_count,M2_guides,M3_count,M3_guides,M4_count,M4_guides,M5_count,M5_guides,Deferred_guides
1,42,78,10,G9 G69 G95 G116 G85 G108 G118 G117 G49 G24,10,G65 G60 G56 G64 G53 G113 G107 G81 G57 G58,10,G22 G100 G104 G66 G105 G101 G18 G72 G62 G54,10,G87 G103 G52 G16 G67 G76 G51 G79 G89 G13,2,G17 G120,G38 G44 G98 G114 G109 G14 G46 G92 G78 G63 G43 G6 G90 G42 G47 G59 G48 G32 G26 G75 G68 G3 G97 G112 G61 G39 G70 G21 G10 G115 G12 G2 G96 G102 G31 G110 G28 G36 G34 G86 G4 G73 G71 G99 G33 G91 G20 G40 G23 G8 G119 G93 G11 G5 G77 G7 G84 G29 G55 G106 G45 G27 G41 G111 G88 G83 G50 G25 G37 G74 G19 G30 G94 G82 G35 G80 G15 G1
2,33,45,10,G38 G44 G98 G114 G109 G14 G46 G92 G78 G63,6,G6 G90 G42 G47 G59 G48,7,G32 G26 G75 G68 G3 G97 G112,10,G61 G39 G70 G21 G10 G115 G12 G2 G96 G102,0,,G43 G31 G110 G28 G36 G34 G86 G4 G73 G71 G99 G33 G91 G20 G40 G23 G8 G119 G93 G11 G5 G77 G7 G84 G29 G55 G106 G45 G27 G41 G111 G88 G83 G50 G25 G37 G74 G19 G30 G94 G82 G35 G80 G15 G1
3,11,34,1,G43,0,,0,,10,G31 G110 G28 G36 G34 G86 G4 G73 G71 G99,0,,G33 G91 G20 G40 G23 G8 G119 G93 G11 G5 G77 G7 G84 G29 G55 G106 G45 G27 G41 G111 G88 G83 G50 G25 G37 G74 G19 G30 G94 G82 G35 G80 G15 G1
4,10,24,0,,0,,0,,10,G33 G91 G20 G40 G23 G8 G119 G93 G11 G5,0,,G77 G7 G84 G29 G55 G106 G45 G27 G41 G111 G88 G83 G50 G25 G37 G74 G19 G30 G94 G82 G35 G80 G15 G1
5,10,14,0,,0,,0,,10,G77 G7 G84 G29 G55 G106 G45 G27 G41 G111,0,,G88 G83 G50 G25 G37 G74 G19 G30 G94 G82 G35 G80 G15 G1
6,10,4,0,,0,,0,,10,G88 G83 G50 G25 G37 G74 G19 G30 G94 G82,0,,G35 G80 G15 G1
